link,title,desc,type
https://openai.com/sora,Sora,An AI model by OpenAI that can create realistic scenes from text instructions,AI Video
https://www.udio.com/,Udio,An AI music generation tool for creating amazing songs in your favorite styles,AI Music
https://wawawriter.com/app/,蛙蛙写作,AI小说和内容创作工具,AI Writing
https://turbodesk.xfyun.cn/,讯飞绘文,免费AI写作工具 5分钟生成一篇原创稿！,AI Writing
https://ibiling.cn/novel-workbench/,笔灵AI小说,笔灵推出的AI小说生成和创作工具,AI Writing
https://www.editage.cn/paperpal,Paperpal,英文论文写作助手,AI Writing
https://dis.csqixiang.cn/unpo/jimeng_1.html,即梦,抖音旗下免费AI图片创作工具,AI Painting
https://www.gaoding.com/ai,稿定AI,一站式AI创作和设计平台,AI Design
https://modao.cc/feature/ai,墨刀AI,AI秒生原型稿,AI Design
https://www.logosc.cn/,标小智,AI Logo设计平台 一键生成企业Logo,AI Design
https://chatexcel.com,酷表ChatExcel,通过聊天来操作Excel表格的AI工具,AI Office
https://www.processon.com,ProcessOn,AI一站式绘图平台 轻松创建思维导图流程图,AI Office
https://tingwu.aliyun.com/home,通义听悟,聚焦于音视频内容的工作学习AI助手,AI Office
https://www.feishu.cn/product/minutes,飞书妙记,飞书智能会议纪要和快捷语音识别转文字,AI Office
